Tarih,Ev,Dep,Lig,Tahmin,AlinanOran,KapanisOran,CLV,CLVYuzde,GercekSonuc
17.03.2026 03:50,Moreirense FC,Arouca,Primeira Liga,Ev Sahibi Kazanır,2.5,2.5,0.0,0.0,
17.03.2026 03:50,Heracles Almelo,Excelsior,Eredivisie,Deplasman Kazanır,2.94,2.931,0.003,0.3,
17.03.2026 03:50,Espanyol,Getafe,La Liga,Deplasman Kazanır,3.55,3.55,0.0,0.0,
17.03.2026 03:50,FSV Mainz 05,Eintracht Frankfurt,Bundesliga,Deplasman Kazanır,3.4,3.4,0.0,0.0,
17.03.2026 03:50,Everton,Chelsea,Premier League,Ev Sahibi Kazanır,3.7,3.7,0.0,0.0,
17.03.2026 03:50,Aston Villa,West Ham United,Premier League,Ev Sahibi Kazanır,2.05,2.05,0.0,0.0,
17.03.2026 03:50,1. FC Heidenheim,Bayer Leverkusen,Bundesliga,Deplasman Kazanır,1.61,1.61,0.0,0.0,
17.03.2026 03:50,VfL Wolfsburg,Werder Bremen,Bundesliga,Deplasman Kazanır,2.85,2.85,0.0,0.0,
17.03.2026 03:50,Leeds United,Brentford,Premier League,Ev Sahibi Kazanır,2.6,2.6,0.0,0.0,
18.03.2026 18:17,Elche CF,Mallorca,La Liga,Deplasman Kazanır,3.8,3.8,0.0,0.0,
18.03.2026 18:17,Athletic Bilbao,Real Betis,La Liga,Deplasman Kazanır,3.6,3.55,0.0142,1.42,
18.03.2026 18:17,Sevilla,Valencia,La Liga,Deplasman Kazanır,3.7,3.7,0.0,0.0,
18.03.2026 18:17,Celta Vigo,Alavés,La Liga,Deplasman Kazanır,5.0,4.805,0.0406,4.06,
18.03.2026 18:17,CA Osasuna,Girona,La Liga,Deplasman Kazanır,3.6,3.6,0.0,0.0,
18.03.2026 18:17,Real Madrid,Atlético Madrid,La Liga,Ev Sahibi Kazanır,1.99,2.0,-0.005,-0.5,
18.03.2026 21:39,1. FC Köln,Borussia Monchengladbach,Bundesliga,Deplasman Kazanır,3.17,3.17,0.0,0.0,
18.03.2026 21:39,NEC Nijmegen,Heerenveen,Eredivisie,Deplasman Kazanır,4.6,4.922,-0.0654,-6.54,
19.03.2026 01:38,Sport Lisboa e Benfica,Vitória SC,Primeira Liga,Ev Sahibi Kazanır,1.88,1.88,0.0,0.0,
19.03.2026 01:38,1. FC Heidenheim 1846,Bayer 04 Leverkusen,Bundesliga,Deplasman Kazanır,1.99,1.99,0.0,0.0,
19.03.2026 01:38,Juventus FC,US Sassuolo Calcio,Serie A,Ev Sahibi Kazanır,1.97,1.97,0.0,0.0,
19.03.2026 01:38,Swansea City AFC,Coventry City FC,Championship,Deplasman Kazanır,2.89,2.89,0.0,0.0,
19.03.2026 01:38,Blackburn Rovers FC,Middlesbrough FC,Championship,Deplasman Kazanır,3.03,3.03,0.0,0.0,
19.03.2026 01:38,Racing Club de Lens,Angers SCO,Ligue 1,Ev Sahibi Kazanır,1.94,1.94,0.0,0.0,
19.03.2026 01:38,OGC Nice,Paris Saint-Germain FC,Ligue 1,Deplasman Kazanır,1.94,1.94,0.0,0.0,
19.03.2026 01:27,AC Milan,Torino FC,Serie A,Ev Sahibi Kazanır,1.92,1.92,0.0,0.0,
19.03.2026 01:27,RB Leipzig,TSG 1899 Hoffenheim,Bundesliga,Ev Sahibi Kazanır,2.16,2.16,0.0,0.0,
19.03.2026 01:27,FC Famalicão,CD Nacional,Primeira Liga,Ev Sahibi Kazanır,2.03,2.03,0.0,0.0,
19.03.2026 01:38,NEC,SC Heerenveen,Eredivisie,Ev Sahibi Kazanır,2.24,2.24,0.0,0.0,
19.03.2026 01:27,Como 1907,AC Pisa 1909,Serie A,Ev Sahibi Kazanır,1.86,1.86,0.0,0.0,
19.03.2026 04:04,Ipswich Town FC,Millwall FC,Championship,Ev Sahibi Kazanır,3.06,3.06,0.0,0.0,
19.03.2026 04:51,FC Barcelona,Rayo Vallecano de Madrid,La Liga,Ev Sahibi Kazanır,1.86,1.86,0.0,0.0,
19.03.2026 05:33,Hull City AFC,Sheffield Wednesday FC,Championship,Ev Sahibi Kazanır,1.88,2.46,-0.2358,-23.58,
19.03.2026 05:33,Borussia Dortmund,Hamburger SV,Bundesliga,Ev Sahibi Kazanır,1.92,1.43,0.3427,34.27,
19.03.2026 01:27,Aston Villa FC,West Ham United FC,Premier League,Ev Sahibi Kazanır,2.12,2.12,0.0,0.0,
19.03.2026 04:51,Atalanta BC,Hellas Verona FC,Serie A,Ev Sahibi Kazanır,1.85,1.85,0.0,0.0,
19.03.2026 06:26,Cagliari Calcio,SSC Napoli,Serie A,Deplasman Kazanır,2.08,2.08,0.0,0.0,
19.03.2026 06:26,Feyenoord Rotterdam,AFC Ajax,Eredivisie,Ev Sahibi Kazanır,2.35,2.35,0.0,0.0,
19.03.2026 06:35,Sparta Rotterdam,FC Volendam,Eredivisie,Ev Sahibi Kazanır,2.08,1.53,0.3595,35.95,
19.03.2026 06:35,Sevilla FC,Valencia CF,La Liga,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,Elche CF,RCD Mallorca,La Liga,Beraberlik,4.68,5.09,-0.0806,-8.06,
19.03.2026 06:35,RCD Espanyol de Barcelona,Getafe CF,La Liga,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,Fortuna Sittard,FC Twente '65,Eredivisie,Deplasman Kazanır,2.35,2.35,0.0,0.0,
19.03.2026 06:35,Everton FC,Chelsea FC,Premier League,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,Villarreal CF,Real Sociedad de Fútbol,La Liga,Ev Sahibi Kazanır,2.34,2.19,0.0685,6.85,
19.03.2026 06:35,Leeds United FC,Brentford FC,Premier League,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,Parma Calcio 1913,US Cremonese,Serie A,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,VfL Wolfsburg,SV Werder Bremen,Bundesliga,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,Preston North End FC,Stoke City FC,Championship,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,CD Santa Clara,Gil Vicente FC,Primeira Liga,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,CF Estrela da Amadora,Casa Pia AC,Primeira Liga,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 06:35,Toulouse FC,FC Lorient,Ligue 1,Ev Sahibi Kazanır,2.52,2.52,0.0,0.0,
19.03.2026 06:55,Tottenham Hotspur FC,Nottingham Forest FC,Premier League,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 07:04,FC Utrecht,Go Ahead Eagles,Eredivisie,Ev Sahibi Kazanır,2.1,2.1,0.0,0.0,
19.03.2026 07:04,PEC Zwolle,NAC Breda,Eredivisie,Ev Sahibi Kazanır,2.13,2.13,0.0,0.0,
19.03.2026 04:27,GD Estoril Praia,Rio Ave FC,Primeira Liga,Ev Sahibi Kazanır,2.09,2.09,0.0,0.0,
19.03.2026 04:51,Telstar 1963,PSV,Eredivisie,Deplasman Kazanır,2.0,2.0,0.0,0.0,
19.03.2026 04:51,RC Celta de Vigo,Deportivo Alavés,La Liga,Ev Sahibi Kazanır,2.26,2.03,0.1133,11.33,
19.03.2026 04:51,Stade Rennais FC 1901,FC Metz,Ligue 1,Ev Sahibi Kazanır,1.87,1.87,0.0,0.0,
19.03.2026 06:35,FC Groningen,AZ,Eredivisie,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 08:33,FC Utrecht,Go Ahead Eagles,Eredivisie,KG Var (Karşılıklı Gol),1.85,1.85,0.0,0.0,
19.03.2026 08:33,Borussia Dortmund,Hamburger SV,Bundesliga,1.5 Üst,1.3,1.3,0.0,0.0,
19.03.2026 08:33,Borussia Dortmund,Hamburger SV,Bundesliga,Çifte Şans 1-X,1.22,1.22,0.0,0.0,
19.03.2026 08:33,Sparta Rotterdam,FC Volendam,Eredivisie,1.5 Üst,1.3,1.3,0.0,0.0,
19.03.2026 08:33,Sparta Rotterdam,FC Volendam,Eredivisie,Çifte Şans 1-X,1.22,1.22,0.0,0.0,
19.03.2026 08:33,FC Utrecht,Go Ahead Eagles,Eredivisie,1.5 Üst,1.3,1.3,0.0,0.0,
19.03.2026 04:51,AS Roma,US Lecce,Serie A,Ev Sahibi Kazanır,1.93,1.93,0.0,0.0,
19.03.2026 04:27,Real Madrid CF,Club Atlético de Madrid,La Liga,Ev Sahibi Kazanır,2.1,2.08,0.0096,0.96,
19.03.2026 04:27,Athletic Club,Real Betis Balompié,La Liga,Deplasman Kazanır,3.36,2.7,0.2444,24.44,
19.03.2026 04:51,FC Augsburg,VfB Stuttgart,Bundesliga,Deplasman Kazanır,2.53,2.29,0.1048,10.48,
19.03.2026 04:51,ACF Fiorentina,FC Internazionale Milano,Serie A,Deplasman Kazanır,2.09,2.09,0.0,0.0,
19.03.2026 06:35,FC Nantes,RC Strasbourg Alsace,Ligue 1,Deplasman Kazanır,2.15,2.15,0.0,0.0,
19.03.2026 06:35,FC Augsburg,VfB Stuttgart,Bundesliga,Beraberlik,4.68,4.68,0.0,0.0,
19.03.2026 20:47,CD Tondela,AVS,Primeira Liga,Ev Sahibi Kazanır,2.12,2.12,0.0,0.0,
20.03.2026 01:40,Levante UD,Real Oviedo,La Liga,Ev Sahibi Kazanır,2.33,2.23,0.0448,4.48,
20.03.2026 01:40,Moreirense FC,FC Arouca,Primeira Liga,Ev Sahibi Kazanır,2.31,2.31,0.0,0.0,
20.03.2026 01:40,Genoa CFC,Udinese Calcio,Serie A,Ev Sahibi Kazanır,2.29,2.29,0.0,0.0,
20.03.2026 01:40,Bristol City FC,West Bromwich Albion FC,Championship,Ev Sahibi Kazanır,2.34,2.47,-0.0526,-5.26,
20.03.2026 01:40,Derby County FC,Birmingham City FC,Championship,Ev Sahibi Kazanır,2.29,2.38,-0.0378,-3.78,
20.03.2026 01:40,Paris FC,Le Havre AC,Ligue 1,Ev Sahibi Kazanır,2.32,2.32,0.0,0.0,
20.03.2026 01:40,Parma Calcio 1913,US Cremonese,Serie A,Ev Sahibi Kazanır,2.21,2.21,0.0,0.0,
20.03.2026 01:40,Fulham FC,Burnley FC,Premier League,Deplasman Kazanır,3.74,3.74,0.0,0.0,
20.03.2026 01:40,Watford FC,Leicester City FC,Championship,Ev Sahibi Kazanır,2.16,2.34,-0.0769,-7.69,
20.03.2026 01:40,Fulham FC,Burnley FC,Premier League,Ev Sahibi Kazanır,2.12,2.12,0.0,0.0,
20.03.2026 01:40,Newcastle United FC,Sunderland AFC,Premier League,Ev Sahibi Kazanır,2.08,2.09,-0.0048,-0.48,
20.03.2026 01:40,Southampton FC,Oxford United FC,Championship,Ev Sahibi Kazanır,2.1,3.01,-0.3023,-30.23,
